ID,발행일,연도,매체,기사제목,대상국,세부지역,기사초점,WNI수(기사표기),모집플랫폼,약속직무,보상표현,이동경로,강제성/착취,프레이밍,TPPO 언급,정부/기관 대응,연구우선순위,코딩깊이,접근상태,출처URL,근거요약,사건군,비고
C005,2023-05-26,2023,CNN Indonesia,"45 WNI jadi korban perusahaan scammer, KBRI Laos desak tindak lanjut",라오스,,착취/보호,45,,,,,여권 보관·귀환 제한,피해자,가능성/선별,KBRI 조치 요구,상,부분,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20230526204255-106-954603/45-wni-jadi-korban-perusahaan-scammer-kbri-laos-desak-tindak-lanjut,,LA-2023-05,
A006,2023-05-29,2023,ANTARA,Sejumlah WNI yang paspornya ditahan di Laos telah dipulangkan,라오스,,착취/송환,45,,,,,여권 압수·이동 제한,피해자,가능성/선별,37명 송환·잔여 8명 지원,상,부분,본문 확인,https://www.antaranews.com/berita/3560850/sejumlah-wni-yang-paspornya-ditahan-di-laos-telah-dipulangkan,회사 측 여권 보관 때문에 귀환이 제한된 사례로 보도된다.,LA-2023-05,
C006,2023-05-29,2023,CNN Indonesia,37 WNI korban perusahaan scammer di Laos pulang ke Indonesia,라오스,,송환,37,,,,,,피해자,가능성/선별,송환,중,메타,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20230529113245-106-955199/37-wni-korban-perusahaan-scammer-di-laos-pulang-ke-indonesia,,LA-2023-05,
D004,2023-05-31,2023,Detik,Ada WNI korban TPPO malah balik lagi ke perusahaan online scams di LN,동남아 다국가,,분류/재이주,,,,,,,혼합/경계,명시,재유입 원인 문제제기,상,심층,검색결과 확인,https://news.detik.com/berita/d-6748456/ada-wni-korban-tppo-malah-balik-lagi-ke-perusahaan-online-scams-di-ln,송환 뒤 다시 스캠업체로 향한 사례를 통해 피해·자발성·경제적 유인의 경계를 드러낸다.,RETURN-SCAM-2023,
D005,2023-05-31,2023,Detik,Terungkap WNI korban TPPO balik kerja lagi ke bisnis online scams,동남아 다국가,,분류/재이주,,,,,,,혼합/경계,명시,정부 설명,중,부분,검색결과 확인,https://news.detik.com/berita/d-6749865/terungkap-wni-korban-tppo-balik-kerja-lagi-ke-bisnis-online-scams,,RETURN-SCAM-2023,동일 사건의 후속·중복 가능
C007,2023-06-02,2023,CNN Indonesia,Kemlu ungkap tren WNI korban TPPO balik jadi scammer usai dipulangkan,동남아 다국가,,분류/재이주,,,,,,,혼합/경계,명시,재유입 추세 설명,상,심층,검색결과 확인,https://www.cnnindonesia.com/internasional/20230602192504-106-957070/kemlu-ungkap-tren-wni-korban-tppo-balik-jadi-scammer-usai-dipulangkan,피해자로 송환된 뒤 다시 스캠노동에 참여하는 현상을 제시해 피해자/가해자 이분법의 한계를 보여준다.,RETURN-SCAM-2023,
A007,2023-06-08,2023,ANTARA 지역판,Kemlu imbau warga waspada online scam tawaran kerja di luar negeri,동남아 다국가,,모집/경고,,소셜미디어,,고임금·쉬운 지원조건,,,구조/정책,명시,외교부 구직 경고,상,심층,검색결과 확인,https://sulteng.antaranews.com/berita/271908/kemlu-imbau-warga-waspada-online-scam-tawaran-kerja-di-luar-negeri,"높은 급여, 간단한 지원절차, 등록되지 않은 회사가 위험 신호로 제시된다.",RECRUIT-WARN-2023,
A008,2023-07-07,2023,ANTARA,Kemlu telah tangani sedikitnya 2.300 kasus WNI korban online scam,동남아 다국가,,규모/통계,"2,300",,,,,,피해자,가능성/선별,외교부 사건 처리,중,메타,본문 확인,https://www.antaranews.com/berita/3624765/kemlu-telah-tangani-sedikitnya-2300-kasus-wni-korban-online-scam,,REG-2023,
A009,2023-07-21,2023,ANTARA,Ada lebih 2.400 kasus WNI korban perdagangan orang dalam dua tahun,동남아 다국가,,규모/TPPO,"2,400+",,,,,,피해자,명시,정부 집계,중,메타,본문 확인,https://www.antaranews.com/berita/3646128/ada-lebih-2400-kasus-wni-korban-perdagangan-orang-dalam-dua-tahun,,REG-2023,
D006,2023-07-30,2023,Detik,Atase Kejaksaan di Bangkok dampingi 6 WNI korban TPPO segera dibawa ke RI,미얀마,Myawaddy,강제노동/송환,6,,,,,약 3개월간 스캐머 강요,피해자,명시,태국 경유 송환,상,부분,검색결과 확인,https://news.detik.com/berita/d-6849540/atase-kejaksaan-di-bangkok-dampingi-6-wni-korban-tppo-segera-dibawa-ke-ri,,MY-6-2023,
A010,2023-09-15,2023,ANTARA 지역판,Jateng imbau warga waspadai sindikat TPPO modus kerja luar negeri,동남아 다국가,,모집/경고,,소셜미디어 광고,,"월 최대 US$1,200·대형 보너스",,,구조/정책,명시,지방정부 경고,상,심층,검색결과 확인,https://jateng.antaranews.com/berita/507678/jateng-imbau-warga-waspadai-sindikat-tppo-modus-kerja-luar-negeri,"고액 급여와 보너스, 간소한 행정절차를 강조하는 온라인 해외취업 광고의 위험성을 설명한다.",RECRUIT-WARN-2023,
S002,2023-09-24,2023,Suara,"2 WNI dijadikan penipu online di Kamboja, begini kata KBRI Phnom Penh",캄보디아,,직무전환/착취,2,,온라인 도박,,,온라인 사기노동으로 직무전환,피해자,명시,KBRI 지원,상,부분,검색결과 확인,https://www.suara.com/news/2023/09/24/215700/2-wni-dijadikan-penipu-online-di-kamboja-begini-kata-kbri-phnom-penh,,KH-2-2023,
C008,2023-09-29,2023,CNN Indonesia,2 WNI korban TPPO judi online disekap-diborgol di Kamboja,캄보디아,,착취/폭력,2,,온라인 도박,,,감금·수갑·이동제한,피해자,명시,영사·경찰 대응,상,부분,검색결과 확인,https://www.cnnindonesia.com/internasional/20230929141746-106-1005175/2-wni-korban-tppo-judi-online-disekap-diborgol-di-kamboja,,KH-2-2023,
A011,2023-11-08,2023,ANTARA,Mengenal cara kerja sindikat online scamming TPPO,동남아 다국가,,구조/모집/TPPO,,소셜미디어·비공식 모집,,,,,구조/정책,명시,범죄구조 설명,상,부분,검색결과 확인,https://www.antaranews.com/berita/3812742/mengenal-cara-kerja-sindikat-online-scamming-tppo,,STRUCTURE-2023,
C009,2024-03-06,2024,CNN Indonesia,Kemlu RI: 3.428 WNI terlibat kasus online scam selama 2020-2023,동남아 다국가,,규모/통계,"3,428",,,,,,혼합/경계,가능성/선별,외교부 집계,중,메타,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20240306095004-106-1070992/kemlu-ri-3428-wni-terlibat-kasus-online-scam-selama-2020-2023,,REG-2024,
D007,2024-03-26,2024,Detik/BBC Indonesia,Keluarga WNI korban sindikat penipuan di Myanmar tuntut kepastian,미얀마,Myawaddy,모집/증언/착취,,,IT·태국 휴대전화 공장·관리/통역,월 Rp10–20백만 또는 Rp17백만,태국 취업으로 안내 후 보트로 미얀마 이동,타이핑훈련 후 사기강요·감금·전기충격·채찍·폭행·수면제한,피해자,명시,가족 구조요청,상,심층,본문 확인,https://news.detik.com/bbc-world/d-7261730/keluarga-wni-korban-sindikat-penipuan-di-myanmar-tuntut-kepastian,합법적 기술·공장 일자리로 포장된 모집이 국경 이동과 강제 사기노동으로 전환되는 과정을 상세히 보여준다.,MY-BBC-2024,
N001,2024-10-19,2024,CNBC Indonesia,"Dubes RI di Thailand buka suara, online scam internasional seret WNI",동남아 다국가,,지역구조/보호,,,,,,,혼합/경계,명시,외교 경고,중,메타,검색결과 확인,https://www.cnbcindonesia.com/news/20241019160011-4-581050/dubes-ri-di-thailand-buka-suara-online-scam-internasional-seret-wni,,REG-2024,
C010,2024-12-25,2024,CNN Indonesia,Kemlu RI beber ribuan WNI sengaja pilih jadi scammer di luar negeri,동남아 다국가,,프레이밍/자발성,,,,고소득 기대,,,가해자,부정/미확인,정부 자발성 프레임,상,심층,검색결과 확인,https://www.cnnindonesia.com/internasional/20241225140114-106-1180930/kemlu-ri-beber-ribuan-wni-sengaja-pilih-jadi-scammer-di-luar-negeri,정부가 일부 인도네시아인의 스캠노동 선택을 자발적·고소득 추구로 설명하는 대표적 기사다.,VOLUNTARY-2024,
C011,2024-12-28,2024,CNN Indonesia,"WNI asal Tanjung Pinang ngaku disekap di Kamboja, Kemlu turun tangan",캄보디아,,사례/감금,1,,,,,감금,피해자,가능성/선별,외교부 개입,상,부분,검색결과 확인,https://www.cnnindonesia.com/internasional/20241228175153-106-1181825/wni-asal-tanjung-pinang-ngaku-disekap-di-kamboja-kemlu-turun-tangan,,KH-TANJUNGPINANG-2024,
C012,2025-02-14,2025,CNN Indonesia,30 WNI korban TPPO di Manila dipaksa jadi pekerja online scam,필리핀,Manila,강제노동/구조,30,,,,,온라인 사기노동 강요,피해자,명시,구조·송환,상,부분,검색결과 확인,https://www.cnnindonesia.com/internasional/20250214192844-106-1198498/30-wni-korban-tppo-di-manila-dipaksa-jadi-pekerja-online-scam,,PH-30-2025,
C013,2025-02-27,2025,CNN Indonesia,84 WNI korban online scam di Myanmar diserahkan ke Thailand,미얀마,,대피/송환,84,,,,미얀마→태국,,피해자,가능성/선별,태국 인계,중,메타,검색결과 확인,https://www.cnnindonesia.com/internasional/20250227172608-106-1203218/84-wni-korban-online-scam-di-myanmar-diserahkan-ke-thailand,,MY-554-2025,
C014,2025-03-15,2025,CNN Indonesia,RI akan pulangkan 554 WNI korban online scam dari Myawaddy Myanmar,미얀마,Myawaddy,송환/규모,554,,,,,,피해자,가능성/선별,대규모 송환,중,메타,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20250315133124-106-1209172/ri-akan-pulangkan-554-wni-korban-online-scam-dari-myawaddy-myanmar,,MY-554-2025,
N002,2025-03-18,2025,CNBC Indonesia,Pemerintah RI pulangkan 554 WNI korban online scam di Myanmar,미얀마,,송환/규모,554,,,,,,피해자,가능성/선별,대규모 송환,중,메타,검색결과 확인,https://www.cnbcindonesia.com/news/20250318133957-4-619591/pemerintah-ri-pulangkan-554-wni-korban-online-scam-di-myanmar,,MY-554-2025,
C015,2025-03-18,2025,CNN Indonesia,400 WNI korban online scam berhasil diselamatkan dari Myanmar,미얀마,,구조/송환,400,,,,,,피해자,가능성/선별,구조·1차 귀환,중,메타,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20250318073535-106-1209985/400-wni-korban-online-scam-berhasil-diselamatkan-dari-myanmar,,MY-554-2025,
D008,2025-03-18,2025,Detik,400 WNI korban online scam di Myanmar dipulangkan hari ini,미얀마,,송환/규모,400,,,,,,피해자,가능성/선별,대규모 송환,중,메타,링크 확인(본문 미검증),https://news.detik.com/berita/d-7828670/400-wni-korban-online-scam-di-myanmar-dipulangkan-hari-ini,,MY-554-2025,
L002,2025-03-18,2025,Liputan6,554 WNI korban penipuan online dipulangkan bertahap dari Myanmar,미얀마,,송환/규모,554,,,,,,피해자,가능성/선별,단계적 송환,중,메타,링크 확인(본문 미검증),https://www.liputan6.com/news/read/5966051/554-wni-korban-penipuan-online-dipulangkan-bertahap-dari-myanmar,,MY-554-2025,
L003,2025-03-18,2025,Liputan6,Kemlu pastikan 400 WNI korban eksploitasi online scam pulang ke Indonesia,미얀마,,착취/송환,400,,,,,,피해자,가능성/선별,귀환,중,메타,링크 확인(본문 미검증),https://www.liputan6.com/hot/read/5965900/kemlu-pastikan-400-wni-korban-eksploitasi-online-scam-pulang-ke-indonesia,,MY-554-2025,
A012,2025-03-19,2025,ANTARA,SBMI: Repatriasi korban online scam tak boleh jadi akhir pelindungan,미얀마,Myawaddy,보호/정책,,,,,,,피해자,명시,송환 이후 재활·법적보호 요구,상,메타,본문 확인,https://www.antaranews.com/berita/4721013/sbmi-repatriasi-korban-online-scam-tak-boleh-jadi-akhir-pelindungan,,MY-2025-03,
A013,2025-03-21,2025,ANTARA,Kemlu masih terima pengaduan WNI di perusahaan online scam Myawaddy,미얀마,Myawaddy,규모/보호,569(대피),,,,,,피해자,가능성/선별,대피·영사 접수,중,메타,본문 확인,https://www.antaranews.com/berita/4726833/kemlu-masih-terima-pengaduan-wni-di-perusahaan-online-scam-myawaddy,,MY-2025-03,
D009,2025-03-21,2025,Detik,Sindikat scam online WNI di Myanmar tawari korban jadi CS gaji belasan juta,미얀마,Myawaddy,모집/착취,,Facebook·Instagram·Telegram,고객서비스(CS),월 Rp10–15백만,,전화번호 목표·폭력·임금 삭감,피해자,명시,정부·경찰 경고,상,심층,본문 확인,https://news.detik.com/berita/d-7835416/sindikat-scam-online-wni-di-myanmar-tawari-korban-jadi-cs-gaji-belasan-juta,"SNS의 고객서비스 구인과 높은 급여가 유인책으로 사용되고, 도착 뒤 실적목표와 폭력·임금삭감이 부과된다.",MY-CS-2025,
L004,2025-03-21,2025,Liputan6,"Ratusan WNI jadi korban modus kejahatan online scam di Myanmar, salah siapa?",미얀마,,구조/책임,,,,,,,구조/정책,명시,책임·예방 논쟁,상,부분,검색결과 확인,https://www.liputan6.com/news/read/5969349/ratusan-wni-jadi-korban-modus-kejahatan-online-scam-di-myanmar-salah-siapa,,MY-554-2025,
L005,2025-04-02,2025,Liputan6,Menteri Abdul Kadir larang warga Indonesia kerja di 3 negara ini,동남아 다국가,,모집/정책,,,태국 고객서비스,,태국 약속 후 미얀마 Myawaddy 이동,온라인 사기 운영 강요,피해자,명시,캄보디아·미얀마·태국 취업 경고,상,심층,검색결과 확인,https://www.liputan6.com/news/read/5983189/menteri-abdul-kadir-larang-warga-indonesia-kerja-di-3-negara-ini,고객서비스 취업을 약속받았지만 Myawaddy로 이동돼 스캠 운영자로 강제된 사례가 정책 경고의 근거로 제시된다.,MY-CS-2025,
L006,2025-04-15,2025,Liputan6,"Larangan WNI kerja di Thailand, Myanmar, Kamboja dan kisah pilu korban TPPO sindikat scamming",동남아 다국가,,모집/착취/정책,,Facebook·Instagram·Telegram,고객서비스 등,월 Rp10–15백만·항공권/비용,,실적목표·폭력·임금삭감,피해자,명시,취업 금지·예방,상,심층,본문 확인,https://www.liputan6.com/news/read/5995737/larangan-wni-kerja-di-thailand-myanmar-kamboja-dan-kisah-pilu-korban-tppo-sindikat-scamming,"플랫폼 광고, 고임금과 이동비용 제공, 도착 후 실적목표·폭력·임금삭감으로 이어지는 전형을 종합한다.",RECRUIT-PATTERN-2025,
L007,2025-04-17,2025,Liputan6,"Komdigi gencar awasi info loker ke Kamboja dan Myanmar, banyak terindikasi scamming",동남아 다국가,,플랫폼 거버넌스/광고,,온라인 구인·소셜미디어,,고임금·가짜 직무,,,구조/정책,명시,구인정보 모니터링·삭제,상,심층,검색결과 확인,https://www.liputan6.com/news/read/5997986/komdigi-gencar-awasi-info-loker-ke-kamboja-dan-myanmar-banyak-terindikasi-scamming,정부가 캄보디아·미얀마행 온라인 구인정보를 위험 콘텐츠로 감시·차단하는 플랫폼 규제 사례다.,PLATFORM-GOV-2025,
A014,2025-04-24,2025,ANTARA,Kemlu RI masih terima 30 pengaduan WNI korban online scam di Myanmar,미얀마,,규모/보호,"30(신규), 7,027(누적)",,,,,,피해자,가능성/선별,영사 접수,중,메타,검색결과 확인,https://www.antaranews.com/berita/4791909/kemlu-ri-masih-terima-30-pengaduan-wni-korban-online-scam-di-myanmar,,MY-2025,
D010,2025-04-30,2025,Detik/BBC Indonesia,"Makin banyak WNI pergi ke Kamboja, mengapa ini bermasalah?",캄보디아,,구조/동기,,소셜미디어,,고임금·빠른 신분상승 기대,,,구조/정책,가능성/선별,추세 분석,상,심층,검색결과 확인,https://news.detik.com/bbc-world/d-7893006/makin-banyak-wni-pergi-ke-kamboja-mengapa-ini-bermasalah,,GENZ-KH-2025,
D011,2025-07-18,2025,Detik Jogja,Wanita asal Jogja kena tipu jadi scammer di Kamboja usai ditawari kerja resto,캄보디아,,모집/이동/착취,1,Facebook·WhatsApp,태국 식당 주방,월 US$900,호찌민 항공편 후 육로·오토바이로 캄보디아 이동,Telegram 사기·월 Rp3억 목표·임금삭감·벌금,피해자,명시,구조·수사,상,심층,본문 확인,https://www.detik.com/jogja/berita/d-8018147/wanita-asal-jogja-kena-tipu-jadi-scamer-di-kamboja-usai-ditawari-kerja-resto,"Facebook 구직, WhatsApp 면접, 제3국 항공편과 육로 이동, Telegram을 이용한 사기노동이 하나의 모집사슬로 연결된다.",KH-JOGJA-2025,
D012,2025-07-19,2025,Detik,"Wanita Jogja dipaksa jadi scammer di Kamboja, disetrum bila tak capai target",캄보디아,,착취/폭력,1,,,,,실적 미달 시 전기충격·폭행,피해자,명시,경찰 수사,상,부분,검색결과 확인,https://news.detik.com/berita/d-8018712/wanita-jogja-dipaksa-jadi-scammer-di-kamboja-disetrum-bila-tak-capai-target,,KH-JOGJA-2025,D011 후속 기사
T002,2025-07-22,2025,Tirto,339 WNI ditangkap di Kamboja diduga terlibat penipuan online,캄보디아,,체포/분류,339,,,,,,가해자,부정/미확인,현지 단속·영사 확인,상,부분,검색결과 확인,https://tirto.id/339-wni-ditangkap-di-kamboja-diduga-terlibat-penipuan-online-heEM,,KH-339-2025,
L008,2025-07-27,2025,Liputan6 Cek Fakta,"Calon pekerja migran, hindarilah tawaran kerja yang berujung TPPO",동남아 다국가,,모집/예방,,Facebook,,월 Rp16–30백만·무경력 가능,,,구조/정책,명시,디지털 리터러시 경고,상,심층,본문 확인,https://www.liputan6.com/cek-fakta/read/6116189/calon-pekerja-migran-hindarilah-tawaran-kerja-yang-berujung-tppo,무경력자에게도 매우 높은 급여를 제시하는 Facebook 해외구인 광고를 대표적 위험 신호로 제시한다.,RECRUIT-WARN-2025,
D013,2025-07-29,2025,Detik/BBC Indonesia,Kesaksian WNI korban kekerasan seks di pusat judi online Kamboja,캄보디아,,착취/증언,,,온라인 도박 관련 업무,,,성폭력·신체폭력·경제적 착취,피해자,명시,피해 증언·보호 요구,상,심층,검색결과 확인,https://news.detik.com/bbc-world/d-8034277/kesaksian-wni-korban-kekerasan-seks-di-pusat-judi-online-kamboja,,KH-SEXUALVIOLENCE-2025,
A015,2025-10-20,2025,ANTARA,"Kemlu catat 10.000 kasus online scam oleh WNI, beraksi sampai Afsel",동남아 다국가,,규모/분류,"10,000+",,,,,,혼합/경계,명시,피해자·자발 참여자 선별,상,심층,본문 확인,https://www.antaranews.com/berita/5186917/kemlu-catat-10000-kasus-online-scam-oleh-wni-beraksi-sampai-afsel,"약 1,500건은 TPPO로 분류되지만 다른 사례에는 자발적 취업·범죄 가담 가능성이 있다고 구분한다.",FRAME-2025,
N003,2025-10-20,2025,CNBC Indonesia,"97 WNI terlibat kerusuhan di Kamboja, pemerintah RI buka suara",캄보디아,,탈출/프레이밍,97,,,,,,혼합/경계,가능성/선별,영사 대응,상,부분,검색결과 확인,https://www.cnbcindonesia.com/news/20251020165524-4-677608/97-wni-terlibat-kerusuhan-di-kamboja-pemerintah-ri-buka-suara,,KH-97-2025,
C016,2025-10-20,2025,CNN Indonesia,86 WNI ditangkap usai berontak-kabur dari kantor online scam Kamboja,캄보디아,,탈출/체포,86,,,,,,혼합/경계,가능성/선별,체포·영사 대응,상,부분,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20251020161436-106-1286537/86-wni-ditangkap-usai-berontak-kabur-dari-kantor-online-scam-kamboja,,KH-97-2025,
D014,2025-10-20,2025,Detik,97 WNI kabur dari perusahaan online scam Kamboja,캄보디아,,탈출/단속,97,,,,,,피해자,가능성/선별,영사 지원,중,메타,검색결과 확인,https://news.detik.com/berita/d-8168902/97-wni-kabur-dari-perusahaan-online-scam-kamboja,,KH-97-2025,
D015,2025-10-20,2025,Detik,"Kemlu ungkap WNI korban TPPO online scam rata-rata Gen Z, ada lulusan S2",동남아 다국가,,피해자 특성/구조,"약 1,500(TPPO)",,,,,,피해자,명시,프로파일 공개·예방,상,부분,검색결과 확인,https://news.detik.com/berita/d-8170084/kemlu-ungkap-wni-korban-tppo-online-scam-rata-rata-gen-z-ada-lulusan-s2,,PROFILE-2025,
N004,2025-10-21,2025,CNBC Indonesia,"Love scam makin ngeri, jerat ribuan WNI tertipu pergi ke luar negeri",동남아 다국가,,구조/규모,,,,,,,피해자,명시,예방 경고,중,메타,검색결과 확인,https://www.cnbcindonesia.com/news/20251021113818-4-677811/love-scam-makin-ngeri-jerat-ribuan-wni-tertipu-pergi-ke-luar-negeri,,REG-2025,
D016,2025-10-21,2025,Detik,5 fakta 97 WNI kabur dari online scam di Kamboja,캄보디아,,탈출/분류,97,,,,,,혼합/경계,가능성/선별,사건 정리,중,메타,검색결과 확인,https://news.detik.com/berita/d-8170464/5-fakta-97-wni-kabur-dari-online-scam-di-kamboja,,KH-97-2025,D014 후속·요약
D017,2025-10-21,2025,Detik,KP2MI pastikan 110 WNI korban scam online di Kamboja dalam kondisi aman,캄보디아,,보호/송환,110,,,,,,피해자,가능성/선별,안전 확인·송환 준비,중,메타,검색결과 확인,https://news.detik.com/berita/d-8171865/kp2mi-pastikan-110-wni-korban-scam-online-di-kamboja-dalam-kondisi-aman,,KH-110-2025,
N005,2025-10-22,2025,CNBC Indonesia,110 WNI korban online scam di Kamboja akan dipulangkan,캄보디아,,송환,110,,,,,,피해자,가능성/선별,송환,중,메타,검색결과 확인,https://www.cnbcindonesia.com/news/20251022195506-4-678420/110-wni-korban-online-scam-di-kamboja-akan-dipulangkan,,KH-110-2025,
C017,2025-10-22,2025,CNN Indonesia,Menlu soal WNI di online scam Kamboja: Belum tentu semua mau pulang,캄보디아,,분류/귀환의사,,,,,,,혼합/경계,가능성/선별,귀환 의사 확인,상,부분,검색결과 확인,https://www.cnnindonesia.com/internasional/20251022155128-106-1287371/menlu-soal-wni-di-online-scam-kamboja-belum-tentu-semua-mau-pulang,,KH-110-2025,
D018,2025-10-22,2025,Detik,"Menlu ungkap 110 WNI kabur dari online scam Kamboja, ada yang tak mau pulang",캄보디아,,분류/귀환의사,110,,,,,,혼합/경계,가능성/선별,귀환의사·역할 확인,상,부분,검색결과 확인,https://news.detik.com/berita/d-8173968/menlu-ungkap-110-wni-kabur-dari-online-scam-kamboja-ada-yang-tak-mau-pulang,,KH-110-2025,
